"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2010","7.164","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2009","7.034","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2008","7.125","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2007","7.236","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2006","7.491","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2005","7.604","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2004","7.597","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2003","7.814","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2002","8.247","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2001","8.606","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Early-demographic dividend","EAR","2000","8.817","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2019","5.400","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2018","5.492","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2017","5.480","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2016","5.544","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2015","5.678","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2014","5.941","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2013","6.206","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2012","6.494","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2011","7.088","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2010","7.458","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2009","7.882","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2008","8.112","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2007","8.506","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2006","8.890","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2005","9.382","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2004","9.629","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2003","9.400","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2002","9.090","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2001","9.914","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific","EAS","2000","11.195","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2019","4.857","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2018","4.924","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2017","4.934","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2016","4.949","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2015","5.019","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2014","5.236","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2013","5.450","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2012","5.733","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2011","6.245","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2010","6.652","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2009","7.090","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2008","7.438","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2007","7.870","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2006","8.445","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2005","8.953","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2004","9.277","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2003","8.994","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2002","8.774","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2001","9.761","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (excluding high income)","EAP","2000","11.161","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2019","4.822","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2018","4.890","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2017","4.895","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2016","4.904","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2015","4.973","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2014","5.195","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2013","5.412","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2012","5.699","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2011","6.217","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2010","6.631","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2009","7.075","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2008","7.426","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2007","7.867","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2006","8.452","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2005","8.966","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2004","9.292","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2003","9.004","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2002","8.775","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2001","9.774","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","East Asia & Pacific (IDA & IBRD)","TEA","2000","11.190","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2019","5.883","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2018","6.079","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2017","6.108","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2016","5.998","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2015","6.390","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2014","6.376","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2013","6.541","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2012","6.396","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2011","6.295","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2010","6.340","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2009","6.332","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2008","6.347","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2007","6.295","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2006","6.458","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2005","6.824","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2004","6.971","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2003","7.206","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2002","7.278","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2001","7.119","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Euro area","EMU","2000","7.394","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Europe & Central Asia","ECS","2019","5.658","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Europe & Central Asia","ECS","2018","5.871","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Europe & Central Asia","ECS","2017","5.944","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Europe & Central Asia","ECS","2016","6.121","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Europe & Central Asia","ECS","2015","6.427","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Europe & Central Asia","ECS","2014","6.503","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Europe & Central Asia","ECS","2013","6.579","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Europe & Central Asia","ECS","2012","6.611","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Europe & Central Asia","ECS","2011","6.663","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Europe & Central Asia","ECS","2010","6.825","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Europe & Central Asia","ECS","2009","6.913","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Europe & Central Asia","ECS","2008","7.117","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Europe & Central Asia","ECS","2007","7.142","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Europe & Central Asia","ECS","2006","7.398","female"
"Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","Europe & Central Asia","ECS","2005","7.845","female"
