"Number of Establishments Employing 20 or More Workers by Occupational Safety and Health (OSH) Policies/Programs Implemented and by Region, Philippines: 2021",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Program for the Promotion of Mental Health in the Workplace with the Following elements: Accessible diagnosis, treatment and referral mechanisms to workers",8438,2848,140,289,110,965,989,122,188,450,824,170,147,418,442,235,80,20
Program for the Promotion of Mental Health in the Workplace with the Following elements: Program on Rewards and Recognition of Good OSH Performance or Practices of employees,7781,2451,101,338,155,898,913,104,194,356,732,186,142,393,415,281,108,15
Program for the Promotion of Mental Health in the Workplace with the Following elements: COVID 19 Health and Safety Measures,15828,5079,268,641,238,1578,1714,292,556,909,1379,316,362,715,985,441,313,41
Program for the Promotion of Mental Health in the Workplace with the Following elements: Other Risk-Based Programs,495,142,12,10,9,57,80,5,26,25,23,16,14,40,22,10,4,1
,,,,,,,,,,,,,,,,,,
Details do not add up to totals due to multiple responses and rounding.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Latest update:,,,,,,,,,,,,,,,,,,
20240306 16:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,
Philippine Statistics Authority (PSA),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Contact:,,,,,,,,,,,,,,,,,,
"Labor Demand, Relations, and Standards Statistics Division",,,,,,,,,,,,,,,,,,
Philippine Statistics Authority,,,,,,,,,,,,,,,,,,
"20th flr. PSA Headquarters, PSA Complex, East Ave. Quezon City, Philippines 1100",,,,,,,,,,,,,,,,,,
"E-mail: edsd.staff@psa.gov.ph, lsrsd.staff@psa.gov.ph",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Units:,,,,,,,,,,,,,,,,,,
Number of establishments,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Internal reference code:,,,,,,,,,,,,,,,,,,
1B3GO060,,,,,,,,,,,,,,,,,,
